JOUR,HEURE,ID_MALE,VU,DIFFUSION,DIFFUSION_SOUS_TYPE,SESSION_DIFF,SESSION_TYPE,SESSION_SOUS_TYPE,STROPHES_AVANT,DISTANCE_MIN,LATENCE,STROPHES_APRES,CRIS,SURVOLS,FEMELLE,PUBLIC,TEMPERATURE,VENT_MOY,VENT_MAX,PLUIE,ENSOLEILLEMENT,MEMO
5,07:43:00,6,0,FT_sif,3,38,1,1,0,2,12,3,14,3,0,9,11,2,6.4,0,21,
5,07:59:00,7,0,MC,4,38,1,1,5,2,12,1,0,1,1,1,11,2,6.4,0,21,
5,08:07:00,8,1,MC,1,38,1,1,7,5,10,1,52,1,0,0,10.9,3,9.7,0,37,survolinitial
5,08:17:00,9,0,FJ,3,38,1,1,0,2,14,2,0,1,1,0,10.9,3,9.7,0,37,restepresdelasourcesonore
5,08:28:00,10,1,FJ,3,38,1,1,4,10,8,3,205,0,0,3,10.9,3,9.7,0,37,
5,08:40:00,11,0,FT_sif,1,38,1,1,2,10,94,5,12,0,1,0,11.3,3,12.9,0,134,survolfemelle
5,09:00:00,6,1,FJ,1,39,1,1,4,2,14,9,0,1,0,2,11.3,3,16.1,0,301,bcpchante(gazouillis)
5,09:09:00,7,1,FT_sif,3,39,1,1,1,5,12,5,10,0,1,0,11.9,6,16.1,0,301,reactionfemelle.malesenva
5,09:17:00,8,1,FT_sif,4,39,1,1,0,5,43,9,2,0,0,0,11.9,6,16.1,0,301,
5,09:26:00,9,1,FT_gaz,4,39,1,1,0,2,6,3,4,1,1,1,11.9,6,16.1,0,301,femelle&malesontvenus.echangesentremales
5,09:37:00,10,1,FT_sif,4,39,1,1,0,2,19,7,1,3,1,1,12.7,8,22.5,0,308,
5,09:48:00,11,0,FT_gaz,3,39,1,1,0,2,42,0,13,1,1,2,12.7,8,22.5,0,308,
5,10:05:00,6,0,FT_gaz,4,40,1,1,0,5,92,9,0,0,0,1,13.7,10,20.9,0,223,
5,10:17:00,7,0,FT_comp,1,40,1,1,3,5,54,4,6,0,0,3,13.7,10,20.9,0,223,recre
5,10:25:00,8,0,FT_gaz,2,40,1,1,4,2,17,11,3,3,0,0,13.7,10,20.9,0,223,
5,10:34:00,9,0,FG,2,40,1,1,0,50,180,0,0,0,0,0,14.2,8,22.5,0,536,
5,10:45:00,10,0,FT_comp,1,40,1,1,0,50,180,0,0,0,0,1,14.2,8,22.5,0,536,
5,10:55:00,11,0,FG,1,40,1,1,7,10,32,4,19,0,0,1,14.2,8,22.5,0,536,2males
5,11:13:00,6,0,MC,3,41,1,1,6,5,15,8,0,4,0,2,14.1,10,20.9,0,332,
5,11:24:00,7,0,FT_gaz,4,41,1,1,0,2,16,5,0,4,0,2,14.1,10,20.9,0,332,
5,11:31:00,8,0,FT_comp,1,41,1,1,2,5,38,18,0,0,0,0,14.9,8,20.9,0,893,
5,11:40:00,9,1,FT_sif,3,41,1,1,0,50,180,0,0,0,0,0,14.9,8,20.9,0,893,
5,11:50:00,10,1,FT_gaz,2,41,1,1,0,2,22,7,8,2,1,0,14.9,8,20.9,0,893,tresprocheenceinte
