JOUR,HEURE,ID_MALE,VU,DIFFUSION,DIFFUSION_SOUS_TYPE,SESSION_DIFF,SESSION_TYPE,SESSION_SOUS_TYPE,STROPHES_AVANT,DISTANCE_MIN,LATENCE,STROPHES_APRES,CRIS,SURVOLS,FEMELLE,PUBLIC,TEMPERATURE,VENT_MOY,VENT_MAX,PLUIE,ENSOLEILLEMENT,MEMO
2024-04-09,09:31:00,1,0,FT_sif,3,1,1,1,0,2,11,4,114,2,1,0,8.3,2,8,3.6,54,
2024-04-09,09:45:00,2,1,FT_gaz,2,1,1,1,0,2,33,2,28,4,1,0,8.3,2,8,3.6,54,"Merles (femelle et mâle) répondent aussi, 2 mâles de FTN et 1 femelle."
2024-04-09,10:07:00,4,1,FG,3,1,1,1,4,2,32,9,142,3,0,0,8.3,2,8,0.7,77,
2024-04-09,10:20:00,5,1,FT_comp,2,1,1,1,11,2,37,4,39,2,0,0,8.3,2,8,0.7,77,2 mâles de FTN.
2024-04-09,10:32:00,1,0,FT_comp,4,2,1,1,0,5,39,12,11,1,1,0,8.4,3,9.7,0.5,83,2 mâles de FTN et 1 femelle. La femelle criait beaucoup donc peut être un peu de confusion dans le comptage des cris du mâle
2024-04-09,10:46:00,2,0,FJ,2,2,1,1,0,5,38,2,5,1,0,0,8.4,3,9.7,0.5,83,
2024-04-09,11:06:00,4,1,FT_comp,4,2,1,1,0,5,19,7,4,3,1,1,8.9,0,4.8,1.6,169,
2024-04-09,11:24:00,3,0,FT_gaz,3,1,1,1,0,5,22,0,2,4,1,0,8.9,0,4.8,1.6,169,
2024-04-09,11:34:00,5,1,FG,2,2,1,1,5,10,11,2,30,1,0,0,9,8,24.1,1.6,195,
2024-04-09,12:50:00,1,1,FT_comp,2,3,2,1,0,2,1,8,1,2,0,10,9.2,2,8,1.6,237,
2024-04-09,13:06:00,2,1,FG,1,3,1,1,0,5,24,3,12,3,0,0,10.1,3,14.5,0,461,
2024-04-09,13:18:00,4,1,FT_gaz,1,3,1,1,3,10,7,1,5,2,0,3,10.1,3,14.5,0,461,Mâle répond vite mais après plus rien.
2024-04-09,13:28:00,3,0,FT_gaz,2,2,2,1,0,5,5,2,0,2,0,4,10.1,3,14.5,0,461,
2024-04-09,13:37:00,5,1,MC,2,3,1,1,3,50,10000,2,2,0,0,0,10.7,3,11.3,0,292,
2024-04-09,13:49:00,1,0,FJ,1,4,1,1,0,2,20,4,3,4,1,3,10.7,3,11.3,0,292,
2024-04-09,13:58:00,2,1,FG,2,4,2,1,0,10,10000,0,0,0,0,0,10.7,3,11.3,0,292,
2024-04-09,14:10:00,4,0,FT_comp,3,4,2,1,0,2,62,4,49,1,0,2,11.6,3,9.7,0,489,
2024-04-09,14:19:00,3,1,MC,2,3,1,1,1,10000,10000,2,4,0,0,9,11.6,3,9.7,0,489,Croni a lancé l'audio par accident (environ 1 secondes) avant la première phase d'observation. Cela ne semble pas avoir eu d'incidence.
2024-04-09,14:29:00,5,1,FT_comp,1,4,2,1,0,2,14,19,3,2,0,0,11.6,3,9.7,0,489,
2024-04-09,14:41:00,1,1,MC,1,5,1,1,1,2,55,0,0,0,0,3,12.3,3,9.7,0,399,
2024-04-09,14:52:00,2,1,FT_sif,2,5,1,1,0,5,10,21,3,1,0,0,12.3,3,9.7,0,399,
2024-04-09,15:04:00,4,0,FJ,2,5,1,1,0,10,22,9,57,1,0,1,12.1,3,11.3,0,353,
2024-04-09,15:14:00,3,0,FG,4,4,1,1,0,10000,10000,0,0,0,0,5,12.1,3,11.3,0,353,
2024-04-09,15:22:00,5,1,FT_sif,3,5,1,1,3,50,39,6,84,0,0,0,12.1,3,11.3,0,353,
2024-04-09,15:35:00,1,1,FT_sif,2,6,2,1,1,2,25,5,99,1,0,8,12.4,2,6.4,0,714,Un grand groupe de marcheurs (avec batons) est passé ce qui m'a empêché (Paul) de bien compter les cris de la FTN (donc c'est sous-évalué).
2024-04-09,15:44:00,2,1,FT_gaz,3,6,2,1,0,15,38,0,27,0,0,1,12.4,2,6.4,0,714,Le mâle FTN a été observé dès l'arrivée sur le site sur son territoire mais il est parti (assez loin) quelques secondes avant la phase de diffusion...
2024-04-09,15:59:00,4,1,FJ,4,6,2,1,3,5,12,4,152,0,0,3,12.4,2,6.4,0,714,
2024-04-09,16:08:00,3,1,FG,3,5,2,1,1,50,62,0,0,0,0,2,13.4,3,8,0,650,
2024-04-09,16:16:00,5,1,FJ,2,6,1,1,0,50,56,4,61,0,0,2,13.4,3,8,0,650,
2024-04-09,16:26:00,1,1,FJ,4,7,2,1,2,2,13,3,0,2,1,0,13.4,3,8,0,650,
2024-04-09,16:36:00,2,1,FJ ,1,7,2,1,3,2,0,24,5,2,1,0,14.1,5,9.7,0,183,
2024-04-09,16:48:00,4,0,FT_gaz,2,7,2,1,0,10000,10000,0,0,0,0,0,14.1,5,9.7,0,183,
2024-04-09,16:56:00,3,0,FG,2,6,3,1,0,10,50,0,9,1,0,2,14.1,5,9.7,0,183,
2024-04-09,17:05:00,5,0,FJ,1,7,2,1,0,50,70,5,79,0,1,3,13.2,2,8,1,494,Un chien s'est approché et a abboyé.
,,,,,,,,,,,,,,,,,,,,,,
2024-04-10,07:42:00,3,0,FJ,3,7,1,1,0,10000,10000,0,0,0,0,1,7.2,6,14.5,0,14,1 coureur
2024-04-10,07:52:00,5,1,FT_comp,4,8,3,1,7,10,30,16,0,1,0,0,7.2,6,14.5,0,14,1 coureur
2024-04-10,08:06:00,1,1,FG,4,8,1,1,0,5,17,5,7,0,0,0,7.4,3,9.7,0,21,Bruits des travaux en fond
2024-04-10,08:15:00,2,1,FT_gaz,4,8,3,1,1,5,10,6,1,0,1,0,7.4,3,9.7,0,21,Compliqué : plusieurs mâles... Beaucoup d'activité !!
2024-04-10,08:29:00,4,1,FT_sif,2,8,1,1,7,5,10,6,86,1,0,1,7.4,3,9.7,0,21,Pas d'enregistrement. 1 coureur
2024-04-10,08:38:00,3,0,FT_sif,2,8,1,1,0,10,76,3,3,1,0,3,7.3,6,16.1,0,37,2 vélos + 1 coureur
2024-04-10,08:46:00,5,1,FG,1,9,2,1,2,20,76,9,0,0,0,0,7.3,6,16.1,0,37,
2024-04-10,08:58:00,1,0,FT_gaz,2,9,1,1,0,2,12,1,0,3,1,1,7.3,6,16.1,0,37,1 coureur
2024-04-10,09:07:00,2,1,FG,3,9,3,1,3,20,2,0,79,0,0,0,8.2,5,17.7,0,190,"Avant diff : 2 chiens qui aboient au début, 1 passant, enfants qui crient derrière."
2024-04-10,09:18:00,4,1,FG,1,9,2,1,1,5,13,8,56,1,1,1,8.2,5,17.7,0,190,1 marcheur
2024-04-10,09:27:00,3,0,MC,3,9,2,1,0,10000,10000,0,0,0,0,3,8.2,5,17.7,0,190,Mâle mésange charbonière attiré. 3 coureurs
2024-04-10,09:35:00,5,1,MC,4,10,2,1,8,20,16,11,0,0,0,0,9.1,11,22.5,0,225,Chant avant notre arrivée : plusieurs mâles se répondaient.
2024-04-10,09:48:00,1,0,FJ,3,10,3,1,0,5,37,2,0,0,1,1,9.1,11,22.5,0,225,Bruit des travaux en fond. 1 marcheur
2024-04-10,09:58:00,2,0,FT_sif,1,10,2,1,0,5,3,5,16,2,1,1,9.1,11,22.5,0,225,Situation très compliquée : 2 mâles et une femelle... 1 coureur
2024-04-10,10:09:00,4,0,FG,2,10,3,1,0,10,5,0,5,0,0,0,10.8,10,24.1,0,441,
2024-04-10,10:18:00,3,0,FT_sif,1,10,2,1,0,20,55,0,27,0,0,1,10.8,10,24.1,0,441,1 coureur
2024-04-10,10:26:00,5,1,FT_gaz,4,11,1,1,13,10000,10000,0,0,0,0,1,10.8,10,24.1,0,441,1 coureur
2024-04-10,10:37:00,1,0,FG,3,11,2,1,0,10000,10000,0,0,0,0,2,10.8,13,33.8,0,575,Vent pendant la diffusion + travaux. 1 vélo + 1 coureur
2024-04-10,10:47:00,2,1,FT_comp,3,11,1,1,0,5,20,2,4,2,0,0,10.8,13,33.8,0,575,
2024-04-10,10:57:00,4,0,FJ,4,11,3,1,0,10000,10000,0,0,0,0,11,10.8,13,33.8,0,575,3 vélos + enfant qui joue au ballon
2024-04-10,11:06:00,3,0,FT_gaz,4,11,3,1,0,10000,10000,0,0,0,0,4,11.3,13,27.4,0,624,Vent pendant la diffusion. 2 coureurs + 2 marcheurs
